name,address,address_link,tennis_courts,pb_courts,city
Gates Canyon Park,"34.1611164,-118.6925884","https://maps.google.com/maps?q=34.1611164,-118.6925884"
Knapp Ranch Park,25000 Kittridge St Los Angeles CA,https://maps.google.com/maps?q=25000 Kittridge St Los Angeles CA
Woodland Hills Recreation Center,5858 Shoup Ave. Woodland Hills CA 91367,https://maps.google.com/maps?q=5858 Shoup Ave. Woodland Hills CA 91367
Lanark Park,21816  Lanark St Canoga Park CA 91304,https://maps.google.com/maps?q=21816  Lanark St Canoga Park CA 91304
John Quimby Park,7008 Desoto Ave Los Angeles CA,https://maps.google.com/maps?q=7008 Desoto Ave Los Angeles CA
Chatsworth Park South,22360 Devonshire St Los Angeles CA,https://maps.google.com/maps?q=22360 Devonshire St Los Angeles CA
Runnymede Park,20200 Runnymede St. Los Angeles CA,https://maps.google.com/maps?q=20200 Runnymede St. Los Angeles CA
Reseda Park and Recreation Center,18411 Victory Blvd. Reseda CA 91335,https://maps.google.com/maps?q=18411 Victory Blvd. Reseda CA 91335
Encino Park,16953 Ventura Blvd Los Angeles CA,https://maps.google.com/maps?q=16953 Ventura Blvd Los Angeles CA
 Balboa Sports Center,17015 Burbank Blvd Encino CA 91316,https://maps.google.com/maps?q=17015 Burbank Blvd Encino CA 91316
 Northridge Recreation Center,18300 Lemarsh Northridge CA 91325,https://maps.google.com/maps?q=18300 Lemarsh Northridge CA 91325
 Dearborn Park,17141  Nordhoff St Northridge CA 91325,https://maps.google.com/maps?q=17141  Nordhoff St Northridge CA 91325
 Rustic Canyon Recreation Center,601 Latimer Rd. Santa Monica CA 90402,https://maps.google.com/maps?q=601 Latimer Rd. Santa Monica CA 90402
 Granada Hills Park,16730 Chatsworth St. Granada Hills CA 91344,https://maps.google.com/maps?q=16730 Chatsworth St. Granada Hills CA 91344
 Reed Park,1133 7th St Santa Monica CA 90403,https://maps.google.com/maps?q=1133 7th St Santa Monica CA 90403
 Knollwood Golf Course,12040 Balboa Blvd. Granada Hills CA 91344,https://maps.google.com/maps?q=12040 Balboa Blvd. Granada Hills CA 91344
 Douglas Park,"34.0358429,-118.4792467","https://maps.google.com/maps?q=34.0358429,-118.4792467"
 Sepulveda Recreation Center,8801 Kester Ave. Panorama City CA 91402,https://maps.google.com/maps?q=8801 Kester Ave. Panorama City CA 91402
 Van Nuys Sherman Oaks Rec. Ctr.,14201 Huston St Sherman Oaks CA 91423,https://maps.google.com/maps?q=14201 Huston St Sherman Oaks CA 91423
 Van Nuys Recreation Center,14301 Vanowen St. Van Nuys CA 91405,https://maps.google.com/maps?q=14301 Vanowen St. Van Nuys CA 91405
 Memorial Park,"34.0211211,-118.4803576","https://maps.google.com/maps?q=34.0211211,-118.4803576"
 Colorado Center Park,Broadway Santa Monica CA 90404,https://maps.google.com/maps?q=Broadway Santa Monica CA 90404
 Dr. Richard H. Rioux Memorial Park,26233 W. Faulkner Dr. Stevenson Ranch CA 91381,https://maps.google.com/maps?q=26233 W. Faulkner Dr. Stevenson Ranch CA 91381
 Panorama City Recreation Center,8600 Hazeltine Ave Panorama City CA 91402,https://maps.google.com/maps?q=8600 Hazeltine Ave Panorama City CA 91402
 Los Amigos Park,"34.0055661,-118.480635","https://maps.google.com/maps?q=34.0055661,-118.480635"
 Ocean View Park,2701 Barnard Way Santa Monica CA 90405,https://maps.google.com/maps?q=2701 Barnard Way Santa Monica CA 90405
 Westwood Park,1350 S Sepulveda Blvd Los Angeles CA,https://maps.google.com/maps?q=1350 S Sepulveda Blvd Los Angeles CA
 Stoner Recreation Center,1835 Stoner Ave. Los Angeles CA 90025,https://maps.google.com/maps?q=1835 Stoner Ave. Los Angeles CA 90025
 Marine Park,"34.005844,-118.4653568","https://maps.google.com/maps?q=34.005844,-118.4653568"
 Clover Park,"34.0163994,-118.4570235","https://maps.google.com/maps?q=34.0163994,-118.4570235"
Alhambra Park,"34.096676,-118.1459041","https://maps.google.com/maps?q=34.096676,-118.1459041"
Story Park,"34.0986202,-118.1247923","https://maps.google.com/maps?q=34.0986202,-118.1247923"
Granada Park,"34.0677883,-118.1453483","https://maps.google.com/maps?q=34.0677883,-118.1453483"
Barnes Park,350 S. McPherrin Avenue Monterey Park CA 91754,https://maps.google.com/maps?q=350 S. McPherrin Avenue Monterey Park CA 91754
Sequoia Park,"34.0544555,-118.1417371","https://maps.google.com/maps?q=34.0544555,-118.1417371"
Highlands Park (City of Monterey Park),"34.05801049,-118.15442101","https://maps.google.com/maps?q=34.05801049,-118.15442101"
Smith Park,"34.0986201,-118.1022916","https://maps.google.com/maps?q=34.0986201,-118.1022916"
Garfield Park,"34.1169529,-118.1464599","https://maps.google.com/maps?q=34.1169529,-118.1464599"
Garvey Ranch Park,"34.053622,-118.1142361","https://maps.google.com/maps?q=34.053622,-118.1142361"
 City Of Rosemead Parks And Recreation Department - Garvey Park,7933 E. Emerson Pl. Rosemead CA 91770,https://maps.google.com/maps?q=7933 E. Emerson Pl. Rosemead CA 91770
 Lacy Park,"34.1197304,-118.1222923","https://maps.google.com/maps?q=34.1197304,-118.1222923"
 Orange Grove Park (City of South Pasadena),815 Mission St South Pasadena CA 91030,https://maps.google.com/maps?q=815 Mission St South Pasadena CA 91030
 El Sereno Recreation Center,4721 Klamath St. Los Angeles CA 90032,https://maps.google.com/maps?q=4721 Klamath St. Los Angeles CA 90032
 Sunnyslopes Park,"34.0464004,-118.1511818","https://maps.google.com/maps?q=34.0464004,-118.1511818"
 Allendale Park,"34.1261192,-118.1447932","https://maps.google.com/maps?q=34.1261192,-118.1447932"
 George E Elder Park,"34.0408448,-118.1253475","https://maps.google.com/maps?q=34.0408448,-118.1253475"
 Hermon Park,5566 Via Marisol Los Angeles CA,https://maps.google.com/maps?q=5566 Via Marisol Los Angeles CA
 Bella Vista Park,"34.034734,-118.1364591","https://maps.google.com/maps?q=34.034734,-118.1364591"
 Belvedere Community Regional Park,4914 E. Cesar Chavez Ave. Los Angeles CA 90022,https://maps.google.com/maps?q=4914 E. Cesar Chavez Ave. Los Angeles CA 90022
 City Terrace Park,1126 N. Hazard Ave. Los Angeles CA 90063,https://maps.google.com/maps?q=1126 N. Hazard Ave. Los Angeles CA 90063
 Tournament Park,"34.134452,-118.1264593","https://maps.google.com/maps?q=34.134452,-118.1264593"
 Lincoln Park,3501 Valley Blvd Los Angeles CA,https://maps.google.com/maps?q=3501 Valley Blvd Los Angeles CA
